make,model,year,mileage,fuelType,engineCapacity,price
BMW,Seria 1,2019,11 500 km,Diesel,1 995 cm3,36 771
Ford,Kuga,2017,77 143 km,Diesel,1 997 cm3,18 861
Volkswagen,Multivan,2016,164 283 km,Diesel,1 968 cm3,34 500
Opel,Corsa,2016,167 000 km,Diesel,1 300 cm3,5 950
Skoda,Fabia,2007,224 000 km,Benzina,1 200 cm3,1 590
BMW,Seria 2,2016,207 000 km,Diesel,2 000 cm3,15 950
Opel,Corsa,2008,183 000 km,Benzina,998 cm3,2 190
BMW,Seria 3,2017,209 000 km,Diesel,1 995 cm3,15 450
Mercedes-Benz,CLS,2006,229 851 km,Diesel,2 987 cm3,8 990
Citroën,C4,2007,211 000 km,Diesel,1 600 cm3,2 850
Renault,Grand,2010,120 000 km,Diesel,1 500 cm3,3 999
BMW,Seria 5,2008,291 100 km,Diesel,2 993 cm3,5 999
Volkswagen,Scirocco,2011,148 300 km,Benzina,1 390 cm3,8 190
Porsche,Panamera,2018,24 000 km,Benzina,2 995 cm3,83 500
Ford,Focus,2007,190 000 km,Benzina,1 400 cm3,2 599
Mitsubishi,ASX,2011,219 000 km,Diesel,1 800 cm3,7 400
BMW,Seria 7,2008,139 223 km,Diesel,2 993 cm3,13 489
Audi,A4,2008,199 000 km,Diesel,1 968 cm3,4 780
Land,Rover,2004,207 000 km,Benzina,1 796 cm3,2 900
Renault,Twingo,2008,119 375 km,Benzina,1 149 cm3,2 990
Mazda,6,2012,181 000 km,Diesel,2 184 cm3,5 490
Volkswagen,Passat,2007,206 200 km,Diesel,1 896 cm3,3 799
BMW,Seria 5,2012,215 000 km,Diesel,1 995 cm3,13 500
Opel,Astra,2005,232 703 km,Benzina,1 364 cm3,1 750
Dacia,Logan,2016,25 273 km,Diesel,1 461 cm3,7 899
BMW,Seria 3,2015,205 081 km,Diesel,1 995 cm3,9 579
Audi,A4,2009,126 000 km,Diesel,1 984 cm3,2 900
Hyundai,Santa,2008,295 000 km,Diesel,2 190 cm3,5 990
Ford,C-MAX,2008,140 000 km,Diesel,1 600 cm3,2 999
BMW,Seria 3,2008,215 000 km,Diesel,1 998 cm3,3 690
Audi,Q5,2017,170 000 km,Diesel,1 968 cm3,18 900
Renault,Clio,2017,116 000 km,Diesel,1 461 cm3,6 390
BMW,X4,2014,100 000 km,Diesel,1 995 cm3,26 000
BMW,Seria 5,2015,278 000 km,Diesel,2 993 cm3,15 999
Volkswagen,Tiguan,2016,168 800 km,Diesel,1 968 cm3,17 990
BMW,Seria 5,2006,257 000 km,Diesel,2 000 cm3,6 499
Mercedes-Benz,GLC,2019,13 500 km,Benzina,1 991 cm3,48 790
Mercedes-Benz,E,2018,4 500 km,Benzina,1 991 cm3,43 051
Mercedes-Benz,GLC,2018,26 056 km,Diesel,2 143 cm3,45 000
Mercedes-Benz,CLA,2014,51 000 km,Diesel,2 145 cm3,17 500
Volkswagen,Golf,2012,198 000 km,Diesel,1 986 cm3,5 999
Dacia,Duster,2012,190 000 km,Diesel,1 500 cm3,5 999
Skoda,Superb,2012,202 400 km,Diesel,1 968 cm3,8 100
Audi,A4,2010,244 500 km,Diesel,1 968 cm3,6 980
Skoda,Yeti,2011,223 000 km,Diesel,1 968 cm3,7 550
Skoda,Octavia,2011,216 000 km,Diesel,2 000 cm3,4 400
Mitsubishi,Pajero,2004,240 000 km,Diesel,3 200 cm3,5 000
Opel,Zafira,2007,211 403 km,Diesel,1 910 cm3,4 350
Volkswagen,Touran,2012,169 000 km,Diesel,1 598 cm3,7 950
BMW,Seria 1,2010,187 000 km,Benzina,1 600 cm3,4 599
Mitsubishi,Pajero,2001,215 000 km,Diesel,2 477 cm3,4 300
Opel,Insignia,2010,249 000 km,Diesel,1 998 cm3,4 500
Volkswagen,Sharan,2010,191 000 km,Diesel,1 900 cm3,4 950
BMW,Seria 1,2010,71 727 km,Benzina,1 995 cm3,7 000
BMW,Seria 2,2015,152 062 km,Diesel,1 496 cm3,9 990
Dacia,Sandero,2019,10 350 km,Benzina,898 cm3,9 900
Mercedes-Benz,GLS,2016,109 500 km,Diesel,2 987 cm3,61 761
Audi,A4,2013,106 000 km,Diesel,1 968 cm3,11 700
Mercedes-Benz,C,2008,320 000 km,Diesel,2 148 cm3,3 100
Ford,Focus,2014,92 000 km,Benzina,1 000 cm3,6 350
Peugeot,2008,2016,147 000 km,Diesel,1 560 cm3,6 789
Volkswagen,Tiguan,2018,174 000 km,Diesel,1 968 cm3,21 500
Mercedes-Benz,E,2007,280 000 km,Diesel,2 145 cm3,4 500
Audi,A3,2016,175 832 km,Diesel,1 598 cm3,11 999
BMW,Seria 3,2018,76 000 km,Diesel,1 995 cm3,27 700
Nissan,Qashqai+2,2011,173 000 km,Diesel,1 995 cm3,8 199
Ford,Fiesta,2011,104 000 km,Diesel,1 560 cm3,4 790
Volkswagen,Passat,2007,229 000 km,Diesel,2 000 cm3,3 590
BMW,Seria 1,2010,250 000 km,Diesel,1 995 cm3,4 600
Fiat,Punto,2011,157 000 km,Benzina,1 400 cm3,3 199
Mercedes-Benz,GLE,2018,12 950 km,Diesel,2 143 cm3,56 882
Volkswagen,Passat,2010,240 000 km,Diesel,1 968 cm3,4 550
Mercedes-Benz,E,2019,18 300 km,Benzina,1 991 cm3,41 900
Ford,Fiesta,2012,110 000 km,Diesel,1 560 cm3,4 250
BMW,X3,2012,186 000 km,Diesel,1 995 cm3,13 250
Skoda,Octavia,2014,228 144 km,Diesel,1 968 cm3,7 600
Skoda,Superb,2013,129 500 km,Diesel,1 598 cm3,6 600
BMW,X5,2016,69 000 km,Diesel,2 993 cm3,43 550
Mercedes-Benz,GLB,2020,10 km,Diesel,1 950 cm3,37 509
Mercedes-Benz,C,2009,300 000 km,Diesel,2 148 cm3,2 850
Kia,Sportage,2012,150 000 km,Diesel,1 995 cm3,11 999
Mercedes-Benz,ML,2007,231 000 km,Diesel,2 998 cm3,7 999
Mercedes-Benz,A,2019,18 000 km,Benzina,1 995 cm3,12 500
Mercedes-Benz,Sprinter,2020,2 km,Diesel,2 143 cm3,30 425
Mercedes-Benz,C,2019,26 000 km,Benzina,1 991 cm3,43 900
Ford,Fiesta,2012,138 000 km,Diesel,1 560 cm3,4 590
Audi,A4,2013,202 700 km,Diesel,1 968 cm3,9 769
Nissan,Juke,2014,151 113 km,Benzina,1 598 cm3,7 990
Volkswagen,Golf,2016,204 000 km,Diesel,1 968 cm3,9 300
Volkswagen,Golf,2010,251 600 km,Diesel,1 968 cm3,5 770
Audi,A6,2013,223 100 km,Diesel,1 968 cm3,12 660
Kia,Sportage,2014,76 000 km,Diesel,1 995 cm3,12 990
Dacia,Logan,2019,24 623 km,Benzina,898 cm3,10 999
Land,Rover,2018,49 900 km,Diesel,1 999 cm3,45 900
Mazda,6,2006,239 000 km,Diesel,1 998 cm3,3 150
Toyota,Hilux,2020,50 km,Diesel,2 755 cm3,45 815
Skoda,Octavia,2016,122 125 km,Diesel,1 968 cm3,10 353
Ford,KA,2011,110 000 km,Benzina,1 242 cm3,2 999
Skoda,Octavia,2006,184 000 km,Benzina,1 595 cm3,11 500RON                                                                Negociabil
Fiat,Doblo,2013,345 000 km,Diesel,1 598 cm3,4 700
Volkswagen,Passat,2015,209 000 km,Diesel,1 598 cm3,9 600
Volkswagen,Passat,2016,227 500 km,Diesel,1 968 cm3,10 770
Toyota,RAV4,2017,194 482 km,Hibrid,2 494 cm3,15 899
BMW,X3,2019,20 325 km,Diesel,1 995 cm3,39 499
Mitsubishi,ASX,2016,137 000 km,Diesel,1 800 cm3,11 990
Mercedes-Benz,GLE,2015,90 720 km,Diesel,2 987 cm3,33 201
Audi,Q5,2014,200 000 km,Benzina,1 998 cm3,13 999
Mercedes-Benz,GLE,2017,68 000 km,Diesel,2 987 cm3,49 000
Mercedes-Benz,C,2017,159 859 km,Diesel,2 143 cm3,24 900
Audi,A5,2016,66 000 km,Diesel,1 968 cm3,19 900
Toyota,Land,2004,364 000 km,Diesel,2 982 cm3,14 800
Mercedes-Benz,GLE,2016,75 000 km,Benzina,5 500 cm3,57 900
Ford,EDGE,2019,4 640 km,Diesel,1 995 cm3,38 490
Mercedes-Benz,A,2019,24 000 km,Benzina,1 332 cm3,31 882
Audi,A4,2017,139 000 km,Diesel,1 968 cm3,16 500
BMW,X5,2008,278 000 km,Diesel,3 000 cm3,7 500
BMW,X1,2010,221 000 km,Diesel,1 995 cm3,9 990
Audi,A6,2014,245 558 km,Diesel,1 968 cm3,13 850
Opel,Corsa,2011,108 226 km,Benzina,1 398 cm3,4 300
Renault,Clio,2012,198 000 km,Diesel,1 500 cm3,3 350
BMW,X3,2013,110 000 km,Diesel,1 995 cm3,15 990
Ford,Transit,2020,2 900 km,Diesel,1 995 cm3,26 061
Ford,Transit,2015,67 401 km,Diesel,2 198 cm3,16 648
Mazda,3,2020,1 km,Benzina,1 998 cm3,17 593
Volkswagen,Passat,2013,218 000 km,Diesel,1 968 cm3,8 400
BMW,Seria 7,2009,207 000 km,Diesel,2 993 cm3,12 900
BMW,X3,2008,228 206 km,Diesel,1 995 cm3,8 550
Ford,Focus,2016,140 984 km,Diesel,1 499 cm3,8 211
Audi,Q5,2010,156 234 km,Diesel,1 968 cm3,13 500
Volkswagen,Golf,2011,221 500 km,Diesel,1 968 cm3,9 298
Volkswagen,Polo,2017,89 000 km,Diesel,1 400 cm3,6 747
Volkswagen,Jetta,2015,77 529 km,Diesel,1 968 cm3,11 489
Skoda,Fabia,2016,175 000 km,Diesel,1 400 cm3,7 090
Renault,Megane,2017,160 000 km,Diesel,1 461 cm3,10 400
Skoda,Octavia,2017,176 444 km,Diesel,1 598 cm3,10 489
Audi,A4,2015,225 012 km,Diesel,1 968 cm3,11 989
Hyundai,i20,2014,79 600 km,Diesel,1 200 cm3,4 999
BMW,Seria 5,2011,230 000 km,Diesel,1 995 cm3,5 999
BMW,Seria 5,2009,299 000 km,Diesel,1 995 cm3,5 290
Hyundai,i10,2009,159 570 km,Benzina,1 248 cm3,2 100
Audi,A8,2016,134 000 km,Diesel,2 967 cm3,33 750
BMW,Seria 3,2007,262 000 km,Benzina,2 990 cm3,5 500
Audi,A4,2009,209 351 km,Benzina,1 798 cm3,5 700
Audi,A4,2007,200 000 km,Diesel,2 000 cm3,3 980
Audi,A5,2018,68 500 km,Diesel,1 968 cm3,35 000
Mercedes-Benz,V,2016,70 000 km,Diesel,2 143 cm3,34 499
BMW,X5,2011,280 000 km,Diesel,2 990 cm3,15 750
Peugeot,508,2013,199 000 km,Diesel,1 968 cm3,7 490
Ford,Mondeo,2016,170 000 km,Diesel,1 997 cm3,12 400
Volkswagen,Passat,2010,243 800 km,Diesel,1 968 cm3,4 990
Skoda,Fabia,2008,198 000 km,Diesel,1 422 cm3,2 999
Mercedes-Benz,A,2020,1 km,Diesel,1 950 cm3,42 860
Dacia,Logan,2018,33 787 km,Benzina,998 cm3,6 490
Renault,Clio,2011,117 700 km,Benzina,1 149 cm3,3 890
Volkswagen,Golf,2011,188 457 km,Diesel,1 598 cm3,6 300
Honda,Civic,2005,191 610 km,Benzina,1 600 cm3,4 100
Opel,Zafira,2011,149 000 km,Diesel,1 686 cm3,4 000
Volkswagen,Golf,2004,290 000 km,Diesel,1 896 cm3,3 390
BMW,Seria 2,2016,190 000 km,Diesel,1 995 cm3,17 990
Mercedes-Benz,S,2019,16 000 km,Diesel,2 925 cm3,95 200
Ford,Ranger,2019,1 km,Diesel,1 996 cm3,31 654
Renault,Clio,2015,68 000 km,Benzina,898 cm3,7 450
Opel,Insignia,2009,240 km,Diesel,1 956 cm3,5 750
Audi,A4,2009,187 676 km,Diesel,1 968 cm3,8 650
Renault,Laguna,2010,195 700 km,Diesel,1 995 cm3,5 499
Audi,A8,2011,223 300 km,Benzina,4 163 cm3,18 490
Jeep,Grand,2012,151 300 km,Benzina,5 700 cm3,16 200
Mercedes-Benz,C,2012,245 000 km,Diesel,2 143 cm3,9 490
Volkswagen,Passat,2011,173 000 km,Diesel,1 968 cm3,7 490
Volkswagen,Passat,2008,197 763 km,Diesel,1 896 cm3,4 799
Volkswagen,Golf,2002,202 493 km,Benzina,1 390 cm3,1 950
Audi,A4,2011,211 858 km,Diesel,1 968 cm3,8 200
BMW,Seria 7,2017,75 000 km,Diesel,2 993 cm3,46 499
Nissan,Qashqai,2008,165 000 km,Diesel,1 994 cm3,5 999
Hyundai,I30,2012,160 000 km,Diesel,1 582 cm3,3 990
Opel,Corsa,2015,25 190 km,Benzina,1 229 cm3,5 699
BMW,Seria 3,2004,247 500 km,Benzina,2 495 cm3,4 200
Opel,Astra,2012,295 075 km,Diesel,1 698 cm3,4 390
Mini,Cooper,2013,26 409 km,Benzina,1 598 cm3,14 450
Renault,Laguna,2002,161 000 km,Benzina,1 598 cm3,2 690
Mercedes-Benz,Citan,2013,136 145 km,Diesel,1 461 cm3,8 199
Ford,Focus,2005,195 000 km,Diesel,1 600 cm3,2 199
Mercedes-Benz,GLE,2019,20 519 km,Benzina,2 999 cm3,67 980
Mercedes-Benz,C,2018,37 000 km,Diesel,2 143 cm3,28 500
Maybach,S,2017,51 000 km,Benzina,3 982 cm3,124 950
Ford,Fiesta,2015,129 600 km,Diesel,1 499 cm3,5 807
Opel,Insignia,2018,28 148 km,Diesel,1 956 cm3,30 940
Mercedes-Benz,GLE,2017,108 000 km,Diesel,2 987 cm3,37 989
Volkswagen,Crafter,2010,398 000 km,Diesel,2 461 cm3,6 900
Citroën,C-Elysée,2015,80 000 km,Benzina,1 199 cm3,5 200
Ford,Fiesta,2018,53 041 km,Diesel,1 498 cm3,9 936
BMW,Seria 1,2008,270 300 km,Diesel,1 995 cm3,5 999
Toyota,Land,2012,245 000 km,Diesel,4 461 cm3,37 800
Dacia,Sandero,2015,70 000 km,Benzina + CNG,898 cm3,4 599
Mercedes-Benz,ML,2012,160 000 km,Diesel,2 950 cm3,28 500
Hyundai,Tucson,2019,11 000 km,Benzina,1 591 cm3,26 899
Kia,Ceed,2012,124 123 km,Diesel,1 582 cm3,4 999
Toyota,RAV4,2012,205 000 km,Diesel,2 239 cm3,11 490
Lexus,CT,2015,152 709 km,Hibrid,1 798 cm3,13 975
Audi,A8,2018,16 500 km,Benzina,2 993 cm3,61 189
Mazda,6,2016,27 500 km,Diesel,1 998 cm3,23 990
Volvo,S60,2015,194 824 km,Diesel,1 969 cm3,10 490
Audi,A3,2007,248 000 km,Diesel,2 000 cm3,4 180
Nissan,X-Trail,2017,49 000 km,Diesel,1 600 cm3,18 400
Mercedes-Benz,Sprinter,2004,400 000 km,Diesel,2 700 cm3,8 328
Mazda,CX-30,2020,4 000 km,Benzina,1 998 cm3,25 928
Volkswagen,Passat,2014,92 052 km,Benzina,2 000 cm3,13 799
Mercedes-Benz,GLE,2020,1 km,Diesel,2 925 cm3,103 032
Volkswagen,Golf,2011,182 000 km,Benzina,1 400 cm3,5 999
Volkswagen,Passat,2012,212 000 km,Diesel,1 986 cm3,10 990
Ford,Kuga,2020,1 km,Diesel,1 996 cm3,35 586
Alfa,Romeo,2005,150 000 km,Benzina,1 970 cm3,2 499
Opel,Astra,2017,70 547 km,Diesel,1 598 cm3,11 490
Renault,Twingo,2015,47 000 km,Benzina,998 cm3,6 800
Infiniti,FX,2011,155 000 km,Diesel,2 993 cm3,14 998
Audi,A8,2017,152 000 km,Diesel,2 993 cm3,26 900
Opel,Astra,2004,194 800 km,Diesel,1 686 cm3,1 400
Audi,A6,2014,200 000 km,Diesel,2 967 cm3,15 899
Mercedes-Benz,CLK,2004,205 000 km,Benzina,1 800 cm3,3 999
Nissan,Juke,2017,80 000 km,Benzina,1 600 cm3,12 800
Renault,Clio,2013,190 733 km,Diesel,1 461 cm3,5 390
Land,Rover,2016,40 000 km,Diesel,2 993 cm3,62 499
Audi,A4,2016,147 000 km,Diesel,1 968 cm3,20 798
BMW,X5,2013,114 218 km,Diesel,2 993 cm3,31 980
Volkswagen,Polo,2006,97 000 km,Benzina,1 200 cm3,2 499
Ford,Mondeo,2016,190 000 km,Diesel,1 498 cm3,9 690
Ford,Fiesta,2013,168 000 km,Diesel,1 600 cm3,4 870
Ford,Mondeo,2014,170 000 km,Diesel,1 600 cm3,6 300
Kia,Sportage,2016,93 800 km,Diesel,1 995 cm3,18 590
BMW,Seria 3,2014,229 000 km,Diesel,2 000 cm3,8 300
Ford,C-Max,2014,156 000 km,Diesel,1 600 cm3,6 790
BMW,X5,2017,112 900 km,Diesel,2 993 cm3,38 900
Mercedes-Benz,GLE,2018,53 053 km,Diesel,2 987 cm3,47 498
Rolls-Royce,Ghost,2019,100 km,Benzina,6 749 cm3,314 041
Porsche,Cayenne,2018,36 000 km,Benzina,2 894 cm3,72 471
Ford,B-MAX,2013,66 400 km,Benzina,998 cm3,6 750
BMW,Seria 7,2015,70 000 km,Benzina,4 395 cm3,47 600
Audi,A5,2008,142 697 km,Diesel,2 967 cm3,9 490
Opel,Astra,2017,175 000 km,Diesel,1 598 cm3,9 430
Mercedes-Benz,Vito,2020,2 000 km,Diesel,1 950 cm3,39 854
Ford,Kuga,2017,108 000 km,Diesel,1 499 cm3,15 589
BMW,Seria 1,2012,185 903 km,Benzina,1 598 cm3,8 300
Volkswagen,Passat,2011,227 487 km,Diesel,1 598 cm3,7 490
Volkswagen,Passat,2009,303 500 km,Diesel,1 968 cm3,4 550
Skoda,Octavia,2015,149 560 km,Diesel,1 598 cm3,7 850
Lexus,Seria,2019,6 281 km,Hibrid,3 456 cm3,59 500
Renault,Megane,2012,197 150 km,Diesel,1 461 cm3,5 990
Opel,Insignia,2012,285 500 km,Diesel,1 956 cm3,4 550
Land,Rover,2017,10 km,Benzina,2 993 cm3,83 288
Land,Rover,2017,10 km,Benzina,2 993 cm3,83 288
Audi,A4,2013,213 574 km,Benzina,1 796 cm3,9 990
Jaguar,E-Pace,2018,40 385 km,Diesel,1 999 cm3,41 650
Volkswagen,Polo,2012,168 000 km,Benzina,1 200 cm3,5 499
Toyota,C-HR,2020,11 000 km,Hibrid,1 987 cm3,26 450
Mercedes-Benz,C,2018,50 000 km,Diesel,2 143 cm3,29 951
Mercedes-Benz,B,2017,113 000 km,Benzina,1 600 cm3,16 449
Opel,Insignia,2016,117 000 km,Diesel,1 598 cm3,9 100
BMW,X6,2012,230 000 km,Diesel,3 000 cm3,19 500
Mazda,CX-5,2019,6 800 km,Benzina,2 488 cm3,31 000
Skoda,Octavia,2007,269 558 km,Diesel,2 000 cm3,2 750
Opel,Insignia,2014,154 271 km,Diesel,1 956 cm3,8 950
BMW,Seria 5,2017,88 200 km,Diesel,1 995 cm3,32 900
Volkswagen,Tiguan,2010,193 809 km,Diesel,1 968 cm3,8 990
Mercedes-Benz,E,2019,7 000 km,Diesel,1 950 cm3,37 473
Hyundai,ix35,2010,108 000 km,Diesel,1 995 cm3,7 200
Audi,Q5,2018,134 000 km,Diesel,1 968 cm3,28 350
BMW,X6,2017,28 000 km,Diesel,2 993 cm3,51 900
Ford,Kuga,2014,213 319 km,Diesel,1 997 cm3,10 000
BMW,Seria 5,2008,275 000 km,Diesel,1 998 cm3,6 450
Skoda,Octavia,2011,240 463 km,Diesel,1 600 cm3,4 299
Volkswagen,Multivan,2018,67 481 km,Diesel,1 968 cm3,41 900
Skoda,Octavia,2015,225 000 km,Diesel,1 598 cm3,8 690
Seat,Leon,2011,262 192 km,Diesel,1 968 cm3,5 990
Renault,Clio,2014,90 955 km,Diesel,1 461 cm3,5 999
Ford,Fiesta,2016,115 071 km,Diesel,1 499 cm3,6 188
Suzuki,SX4,2020,11 559 km,Hibrid,1 373 cm3,20 219
Mazda,6,2014,212 149 km,Diesel,2 184 cm3,9 163
Mercedes-Benz,C,2019,21 120 km,Diesel,1 950 cm3,36 500
Peugeot,206,2006,69 500 km,Benzina,1 360 cm3,1 690
Audi,A3,2015,160 500 km,Diesel,1 598 cm3,11 900
Seat,Altea,2008,200 000 km,Diesel,2 000 cm3,4 690
Lexus,Seria,2019,39 000 km,Hibrid,3 456 cm3,43 946
Skoda,Octavia,2017,186 000 km,Diesel,1 598 cm3,12 850
BMW,X1,2020,8 000 km,Hibrid,1 499 cm3,46 386
Mitsubishi,Outlander,2016,122 455 km,Diesel,2 268 cm3,16 450
Ford,C-MAX,2006,200 000 km,Diesel,1 560 cm3,2 250
Ford,Fiesta,2016,48 000 km,Diesel,1 498 cm3,6 990
Ford,Fiesta,2016,100 298 km,Benzina,999 cm3,6 699
Dacia,Duster,2015,76 872 km,Diesel,1 461 cm3,8 650
Mercedes-Benz,E,2020,6 km,Diesel,1 950 cm3,71 469
Audi,A4,2007,250 422 km,Diesel,1 984 cm3,3 190
Jaguar,XE,2019,1 km,Diesel,1 999 cm3,34 314
BMW,X1,2016,112 000 km,Diesel,1 998 cm3,19 790
Mercedes-Benz,Vito,2020,1 550 km,Diesel,1 950 cm3,42 436
Audi,A5,2014,177 920 km,Diesel,1 968 cm3,13 999
Audi,A6,2007,235 000 km,Diesel,1 968 cm3,4 990
Mercedes-Benz,E,2020,1 km,Hibrid,1 950 cm3,71 993
BMW,X3,2014,189 500 km,Diesel,2 000 cm3,17 200
Dacia,Duster,2016,114 243 km,Diesel,1 461 cm3,10 917
Mercedes-Benz,E,2017,36 151 km,Benzina,1 991 cm3,32 990
BMW,Seria 4,2020,6 000 km,Benzina,2 998 cm3,67 188
Mercedes-Benz,E,2020,20 250 km,Benzina,1 991 cm3,37 600
BMW,X3,2019,413 km,Diesel,1 995 cm3,47 320
Audi,A6,2019,3 580 km,Benzina,1 995 cm3,37 900
BMW,Seria 3,2019,21 618 km,Diesel,1 995 cm3,49 149
BMW,M5,2019,15 823 km,Benzina,4 395 cm3,86 597
BMW,Seria 7,2019,14 796 km,Diesel,2 993 cm3,106 934
Opel,Grandland,2020,1 km,Hibrid,1 598 cm3,37 919
Hyundai,Tucson,2017,175 423 km,Diesel,1 685 cm3,14 890
Peugeot,308,2014,128 700 km,Diesel,1 560 cm3,5 990
Land,Rover,2016,134 000 km,Diesel,1 996 cm3,19 300
BMW,X3,2009,104 000 km,Diesel,2 000 cm3,7 990
Nissan,X-Trail,2017,180 000 km,Diesel,1 995 cm3,14 650
BMW,Seria 3,2017,180 000 km,Diesel,1 995 cm3,12 890
Mercedes-Benz,E,2016,87 500 km,Diesel,2 143 cm3,23 000
Hyundai,Tucson,2018,28 668 km,Diesel,1 598 cm3,17 990
Land,Rover,2018,52 366 km,Diesel,2 993 cm3,39 900
Volkswagen,Passat,2017,173 633 km,Diesel,1 968 cm3,13 994
Mercedes-Benz,C,2011,173 000 km,Benzina,1 796 cm3,10 380
Jeep,Wrangler,2014,103 000 km,Diesel,2 776 cm3,19 900
Mercedes-Benz,E,2020,1 km,Hibrid,1 991 cm3,69 018
Ford,Fiesta,2015,119 000 km,Diesel,1 489 cm3,7 799
Audi,Q8,2019,42 900 km,Diesel,2 967 cm3,71 697
Audi,Q8,2020,20 km,Diesel,2 967 cm3,82 068
Audi,Q3,2018,60 692 km,Diesel,1 968 cm3,25 544
Mercedes-Benz,S,2018,59 400 km,Diesel,2 925 cm3,71 323
Mercedes-Benz,GLE,2018,15 300 km,Diesel,2 987 cm3,58 310
Volkswagen,Jetta,2009,186 052 km,Diesel,1 900 cm3,3 990
Audi,A6,2019,23 000 km,Diesel,2 967 cm3,47 000
Ford,Puma,2019,11 000 km,Benzina,998 cm3,18 799
Mercedes-Benz,GLE,2020,1 km,Hibrid,1 950 cm3,88 058
Mercedes-Benz,GLE,2017,131 740 km,Diesel,2 987 cm3,35 500
Mercedes-Benz,GLC,2017,139 952 km,Diesel,2 143 cm3,39 900
Renault,Megane,2012,227 801 km,Diesel,1 461 cm3,5 190
Skoda,Octavia,2008,217 000 km,Diesel,2 000 cm3,4 199
Volkswagen,Jetta,2016,41 425 km,Diesel,1 968 cm3,11 990
Renault,Megane,2004,176 809 km,Diesel,1 870 cm3,1 350
Nissan,Qashqai,2019,23 800 km,Diesel,1 461 cm3,19 360
Citroën,Berlingo,2015,133 601 km,Diesel,1 560 cm3,5 750
Land,Rover,2014,71 000 km,Diesel,2 993 cm3,38 000
BMW,X5,2018,82 000 km,Diesel,2 993 cm3,43 980
Opel,Grandland,2020,51 km,Benzina,1 199 cm3,19 299
Ford,EcoSport,2019,11 495 km,Benzina,998 cm3,14 990
Ford,Fiesta,2013,91 000 km,Benzina,1 598 cm3,7 190
BMW,Seria 5,2019,14 487 km,Diesel,1 995 cm3,43 911
BMW,X5,2019,14 725 km,Diesel,2 993 cm3,67 320
Peugeot,207,2008,190 000 km,Benzina,1 360 cm3,1 899
Dacia,Sandero,2017,49 500 km,Diesel,1 461 cm3,8 300
Porsche,Cayenne,2012,152 000 km,Diesel,2 967 cm3,22 900
Hyundai,Tucson,2018,14 540 km,Benzina,1 591 cm3,24 950
Ford,Focus,2006,150 000 km,Benzina,1 388 cm3,2 100
BMW,Seria 5,2017,140 000 km,Diesel,1 995 cm3,16 990
BMW,Seria 3,2015,123 000 km,Diesel,1 995 cm3,14 280
Opel,Insignia,2015,168 000 km,Diesel,1 568 cm3,7 689
Ford,Focus,2015,172 000 km,Diesel,1 560 cm3,6 289
Mercedes-Benz,GLA,2020,10 km,Benzina,1 332 cm3,44 322
BMW,X6,2016,110 000 km,Benzina,4 395 cm3,55 700
Opel,Insignia,2015,168 000 km,Diesel,1 568 cm3,6 988
Hyundai,Tucson,2017,169 000 km,Diesel,1 995 cm3,15 000
Ford,Mondeo,2016,98 000 km,Diesel,1 997 cm3,12 988
Ford,Kuga,2017,172 000 km,Diesel,1 997 cm3,13 789
Dacia,Logan,2017,95 000 km,Diesel,1 461 cm3,7 289
Nissan,Juke,2011,189 000 km,Diesel,1 461 cm3,7 190
Renault,Megane,2018,25 000 km,Diesel,1 461 cm3,13 489
Ford,Fiesta,2009,137 000 km,Benzina,1 300 cm3,3 390
Volkswagen,Golf,2012,117 000 km,Benzina,1 984 cm3,17 500
Volkswagen,Golf,2016,149 000 km,Benzina,1 984 cm3,18 500
Mazda,3,2008,188 900 km,Diesel,1 995 cm3,4 999
Suzuki,Vitara,2015,128 000 km,Diesel,1 586 cm3,12 489
Volkswagen,Golf,2004,142 000 km,Benzina,1 390 cm3,2 190
Skoda,Fabia,2011,131 800 km,Benzina,1 197 cm3,3 390
Dacia,Logan,2018,52 000 km,Diesel,1 461 cm3,8 389
Audi,A4,2016,83 000 km,Diesel,1 968 cm3,20 989
Hyundai,I30,2017,109 000 km,Diesel,1 600 cm3,14 161
Dacia,Sandero,2019,10 000 km,Benzina,1 000 cm3,6 100
Skoda,RAPID,2016,136 375 km,Diesel,1 422 cm3,6 950
Fiat,500,2009,128 000 km,Benzina,1 242 cm3,3 390
Chevrolet,Spark,2012,79 000 km,Benzina,1 000 cm3,2 200
Mercedes-Benz,GLB,2020,10 km,Benzina,1 991 cm3,59 678
Ford,Mondeo,2017,151 676 km,Diesel,1 997 cm3,12 950
Suzuki,Vitara,2020,3 840 km,Hibrid,1 373 cm3,20 823
Ford,KA,2009,161 000 km,Benzina,1 300 cm3,2 650
BMW,Seria 4,2017,22 000 km,Diesel,2 993 cm3,36 533
Mercedes-Benz,Vito,2019,1 501 km,Diesel,2 143 cm3,27 300
Renault,Talisman,2016,182 000 km,Diesel,1 600 cm3,10 650
Honda,Civic,2008,52 000 km,Benzina,1 799 cm3,5 999
Audi,A4,2018,13 568 km,Diesel,1 968 cm3,24 499
BMW,Seria 5,2016,125 000 km,Diesel,2 993 cm3,23 499
Volkswagen,Passat,2010,219 571 km,Diesel,1 995 cm3,8 390
Volkswagen,Touareg,2013,348 900 km,Diesel,2 967 cm3,11 850
Ford,Kuga,2018,30 000 km,Diesel,1 500 cm3,15 350
BMW,Seria 3,2011,265 129 km,Diesel,1 995 cm3,7 200
