make,model,year,mileage,fuelType,engineCapacity,price
Opel,Insignia,2009,200 000 km,Diesel,1 956 cm3,6 790
Volkswagen,Passat,2016,161 000 km,Diesel,1 598 cm3,13 390
Mazda,6,2010,221 000 km,Diesel,2 184 cm3,5 299
Volkswagen,Golf,2008,225 000 km,Diesel,1 900 cm3,3 990
Volkswagen,Passat,2009,221 000 km,Diesel,1 968 cm3,3 999
Audi,A4,2018,156 000 km,Diesel,1 968 cm3,18 998
Skoda,Octavia,2016,118 921 km,Diesel,1 968 cm3,10 799
Renault,Scenic,2010,191 000 km,Diesel,1 461 cm3,3 990
Mercedes-Benz,C,2013,190 000 km,Benzina,1 595 cm3,10 590
Audi,A5,2018,138 000 km,Diesel,1 995 cm3,23 900
BMW,X5,2017,113 000 km,Diesel,2 993 cm3,37 899
Audi,Q3,2017,110 000 km,Diesel,1 968 cm3,15 898
Renault,Megane,2013,239 000 km,Diesel,1 461 cm3,4 250
Volkswagen,Golf,2014,74 000 km,Diesel,1 598 cm3,10 472
BMW,Seria 3,2005,205 000 km,Diesel,1 995 cm3,4 799
Opel,Mokka,2015,196 500 km,Diesel,1 686 cm3,9 400
Mercedes-Benz,E,2013,245 969 km,Diesel,2 143 cm3,8 600
Mercedes-Benz,C,2015,179 560 km,Diesel,1 598 cm3,14 500
Renault,Talisman,2016,158 879 km,Diesel,1 598 cm3,14 490
BMW,X3,2015,96 000 km,Diesel,1 995 cm3,21 900
Nissan,Qashqai,2014,160 981 km,Diesel,1 598 cm3,11 990
Mazda,6,2010,196 000 km,Diesel,1 998 cm3,3 900
Volkswagen,Golf,2006,278 000 km,Diesel,1 968 cm3,4 000
Volkswagen,Jetta,2016,122 503 km,Diesel,1 968 cm3,9 590
Volkswagen,Passat,2011,247 500 km,Diesel,1 968 cm3,7 490
Volkswagen,Tiguan,2010,138 000 km,Benzina,1 390 cm3,7 290
Dacia,Logan,2019,31 893 km,Benzina,898 cm3,6 999
Volkswagen,Tiguan,2016,75 011 km,Benzina,1 400 cm3,12 900
Ford,Focus,2012,200 000 km,Diesel,1 560 cm3,5 000
Audi,A6,2010,260 000 km,Benzina,2 995 cm3,10 700
Audi,A5,2017,121 300 km,Diesel,1 968 cm3,26 537
Opel,Corsa,2006,251 000 km,Diesel,1 300 cm3,2 100
Nissan,Qashqai,2007,208 457 km,Diesel,1 996 cm3,6 001
Mazda,3,2006,169 000 km,Benzina,1 598 cm3,2 790
Ford,Mondeo,2009,205 000 km,Diesel,1 753 cm3,3 990
Volkswagen,Jetta,2016,93 201 km,Diesel,1 968 cm3,11 690
Volkswagen,Tiguan,2013,198 070 km,Diesel,1 968 cm3,11 990
Toyota,Proace,2020,1 500 km,Diesel,1 997 cm3,40 900
Volkswagen,Tiguan,2017,168 698 km,Diesel,1 968 cm3,16 990
Volkswagen,Golf,2004,144 000 km,Benzina,1 390 cm3,3 190
Volkswagen,Passat,2016,176 879 km,Diesel,1 986 cm3,11 390
Volkswagen,Golf,2015,106 000 km,Diesel,1 598 cm3,9 900
Mercedes-Benz,C,2016,174 200 km,Diesel,1 598 cm3,15 000
Opel,Antara,2008,181 000 km,Diesel,1 991 cm3,5 499
Mercedes-Benz,C,2018,3 000 km,Benzina,1 497 cm3,45 549
Mercedes-Benz,S,2019,4 500 km,Diesel,2 925 cm3,102 810
Volkswagen,Jetta,2016,80 796 km,Diesel,1 968 cm3,12 490
Mercedes-Benz,E,2017,4 000 km,Diesel,2 987 cm3,56 377
Volkswagen,Tiguan,2012,263 500 km,Diesel,1 968 cm3,10 999
Land,Rover,2016,135 020 km,Diesel,1 999 cm3,23 800
BMW,Seria 5,2017,68 000 km,Diesel,2 993 cm3,33 989
Mercedes-Benz,GLE,2015,38 500 km,Diesel,2 987 cm3,56 284
Mazda,6,2013,183 600 km,Diesel,2 191 cm3,9 650
